symbol,price,trailing_eps_ttm,base_q_eps,next_q_eps_est,next_year_eps_est,avg_payout_ratio,est_dividend,est_yield_%
1533.TW,29.85,0.59,0.147,-0.048,-0.19,0.508,-0.1,-0.33
1213.TW,9.9,8.8,2.2,-0.217,-0.87,0.04,-0.03,-0.35
2236.TW,112.0,5.39,1.347,-0.777,-3.11,0.207,-0.64,-0.57
2009.TW,43.25,0.33,0.083,-0.073,-0.29,2.045,-0.6,-1.38
1539.TW,17.2,0.25,0.062,-0.027,-0.11,4.75,-0.51,-2.97
2227.TW,52.8,1.72,0.43,-0.08,-0.32,4.906,-1.58,-2.99
1906.TW,11.65,0.12,0.03,-0.051,-0.2,2.917,-0.59,-5.1
2704.TW,42.9,0.37,0.092,-0.338,-1.35,1.802,-2.44,-5.69
1456.TW,12.6,1.27,0.318,-0.3,-1.2,0.669,-0.8,-6.38
2388.TW,45.9,0.09,0.022,-0.366,-1.47,5.0,-7.32,-15.96
3016.TW,56.6,0.01,0.003,-0.03,-0.12,88.678,-10.68,-18.87
1583.TW,46.6,2.17,0.542,-1.924,-7.7,1.431,-11.01,-23.64
2342.TW,30.3,0.03,0.007,-0.075,-0.3,27.497,-8.28,-27.34
1530.TW,27.95,0.6,0.15,-0.945,-3.78,2.877,-10.88,-38.93
1598.TW,19.95,0.52,0.13,-0.415,-1.66,4.89,-8.11,-40.65
